0 AAPL 158.787 699 234
100 AAPL 138.827 266 551
200 AAPL 129.263 436 575
300 AAPL 124.763 983 466
400 AAPL 123.771 530 967
500 AAPL 120.738 874 672
600 AAPL 120.647 846 996
700 AAPL 120.469 733 866
800 AAPL 123.133 816 144
900 AAPL 120.201 664 875
1000 AAPL 126.484 307 352
1100 AAPL 134.652 834 843
1200 AAPL 138.332 771 484
1300 AAPL 146.328 220 711
1400 AAPL 144.153 735 314
1500 AAPL 149.746 460 585
1600 AAPL 144.495 177 698
1700 AAPL 144.759 549 598
1800 AAPL 148.67 327 142
1900 AAPL 153.99 592 812
2000 AAPL 158.517 266 334
2100 AAPL 160.565 725 224
2200 AAPL 168.127 417 762
2300 AAPL 164.605 245 969
2400 AAPL 164.353 104 714
2500 AAPL 159.811 490 818
2600 AAPL 160.138 89 453
2700 AAPL 150.426 857 352
2800 AAPL 155.195 924 484
2900 AAPL 153.549 827 610
3000 AAPL 152.043 440 102
3100 AAPL 149.637 1000 139
3200 AAPL 156.133 415 283
3300 AAPL 150.498 255 995
3400 AAPL 161.33 671 593
3500 AAPL 169.519 613 763
3600 AAPL 173.525 791 640
3700 AAPL 183.65 881 373
3800 AAPL 178.045 564 338
3900 AAPL 181.355 401 543
4000 AAPL 181.759 190 420
4100 AAPL 180.982 646 954
4200 AAPL 181.905 912 416
4300 AAPL 186.666 475 644
4400 AAPL 195.692 234 451
4500 AAPL 197.759 174 555
4600 AAPL 202.996 916 862
4700 AAPL 207.112 240 218
4800 AAPL 203.063 226 914
4900 AAPL 200.809 691 353
5000 AAPL 199.673 212 423
5100 AAPL 193.952 927 816
5200 AAPL 197.512 884 203
5300 AAPL 196.617 900 349
5400 AAPL 195.547 76 660
5500 AAPL 188.63 90 56
5600 AAPL 191.315 572 740
5700 AAPL 188.473 316 385
5800 AAPL 201.522 890 564
5900 AAPL 203.155 950 94
6000 AAPL 211.66 623 834
6100 AAPL 220.792 422 882
6200 AAPL 222.737 289 686
6300 AAPL 217.421 333 348
6400 AAPL 216.913 143 425
6500 AAPL 218.623 363 435
6600 AAPL 220.473 194 121
6700 AAPL 222.682 433 224
6800 AAPL 234.976 884 967
6900 AAPL 234.324 678 886
7000 AAPL 229.723 225 193
7100 AAPL 242.713 756 33
7200 AAPL 238.466 875 845
7300 AAPL 238.232 610 565
7400 AAPL 234.279 131 548
7500 AAPL 228.158 282 594
7600 AAPL 233.776 565 991
7700 AAPL 227.176 292 348
7800 AAPL 229.659 126 226
7900 AAPL 227.046 334 836
8000 AAPL 226.51 628 980
8100 AAPL 229.266 555 772
8200 AAPL 237.032 416 449
8300 AAPL 239.421 467 560
8400 AAPL 249.817 579 513
8500 AAPL 255.538 663 317
8600 AAPL 257.157 224 964
8700 AAPL 255.292 76 431
8800 AAPL 257.57 654 800
8900 AAPL 256.879 423 908
9000 AAPL 257.445 623 582
9100 AAPL 258.767 568 840
9200 AAPL 270.014 233 759
9300 AAPL 272.914 143 954
9400 AAPL 272.035 389 695
9500 AAPL 278.262 432 676
9600 AAPL 273.905 44 323
9700 AAPL 272.5 558 99
9800 AAPL 269.962 171 583
9900 AAPL 266.258 869 487
10000 AAPL 270.758 484 746
10100 AAPL 264.366 234 334
10200 AAPL 267.524 972 892
10300 AAPL 263.727 384 783
10400 AAPL 267.991 677 598
10500 AAPL 260.136 787 750
10600 AAPL 269.512 988 671
10700 AAPL 273.945 878 675
10800 AAPL 279.698 94 237
10900 AAPL 288.349 619 806
11000 AAPL 292.136 187 834
11100 AAPL 289.18 331 32
11200 AAPL 292.554 795 288
11300 AAPL 292.344 691 866
11400 AAPL 293.298 498 848
11500 AAPL 297.393 49 148
11600 AAPL 305.941 375 269
11700 AAPL 306.939 81 590
11800 AAPL 306.296 286 879
11900 AAPL 315.664 662 727
12000 AAPL 311.176 660 927
12100 AAPL 315.026 994 692
12200 AAPL 317.192 885 877
12300 AAPL 320.663 792 913
12400 AAPL 321.603 184 710
12500 AAPL 325.854 673 396
12600 AAPL 327.345 971 541
12700 AAPL 319.754 540 624
12800 AAPL 312.255 12 683
12900 AAPL 309.53 73 183
13000 AAPL 306.183 347 402
13100 AAPL 311.75 852 613
13200 AAPL 306.551 876 794
13300 AAPL 308.69 159 188
13400 AAPL 303.926 549 946
13500 AAPL 302.099 533 27
13600 AAPL 313.911 903 545
13700 AAPL 311.102 41 166
13800 AAPL 306.991 557 508
13900 AAPL 302.847 943 169
14000 AAPL 312.197 709 802
14100 AAPL 311.901 435 504
14200 AAPL 309.638 907 364
14300 AAPL 311.952 94 654
14400 AAPL 310.066 320 926
14500 AAPL 314.444 192 66
14600 AAPL 323.958 323 685
14700 AAPL 326.633 295 70
14800 AAPL 324.87 938 905
14900 AAPL 329.993 834 960
15000 AAPL 332.001 417 320
15100 AAPL 333.475 812 446
15200 AAPL 329.848 864 690
15300 AAPL 323.553 953 371
15400 AAPL 322.091 492 692
15500 AAPL 314.049 328 680
15600 AAPL 323.161 58 200
15700 AAPL 321.097 804 139
15800 AAPL 323.243 909 353
15900 AAPL 314.997 200 691
16000 AAPL 320.11 259 756
16100 AAPL 317.792 912 394
16200 AAPL 325.015 902 795
16300 AAPL 325.634 481 130
16400 AAPL 319.315 325 965
16500 AAPL 317.29 726 799
16600 AAPL 324.708 575 414
16700 AAPL 328.322 914 720
16800 AAPL 325.038 537 478
16900 AAPL 326.933 972 117
17000 AAPL 327.939 500 178
17100 AAPL 332.074 113 793
17200 AAPL 338.318 303 715
