Day 1
122498500 AAPL 148.369 360 6 Buy
122499000 GOOGL 148.348 294 40 Buy
122496500 GOOGL 148.225 427 5 Buy
122497000 MSFT 147.773 654 1 Buy
122498000 MSFT 147.6 829 9 Buy
122488000 TSLA 147.281 121 4 Buy
122490000 TSLA 147.27 461 14 Buy
122499500 TSLA 147.262 257 16 Buy
122472000 TSLA 147.22 20 48 Buy
122416000 TSLA 146.881 491 38 Buy
122400000 TSLA 146.854 89 38 Buy
122293000 AMZN 146.834 538 29 Buy
122306500 AMZN 146.758 206 8 Buy
122293500 AMZN 146.729 668 35 Buy
122302500 AMZN 146.702 164 18 Buy
122404500 TSLA 146.688 707 15 Buy
122295500 AMZN 146.687 373 33 Buy
122456000 TSLA 146.643 991 29 Buy
122408500 TSLA 146.563 213 34 Buy
122457000 TSLA 146.525 782 26 Buy
122189500 GOOGL 146.47 111 38 Buy
122182500 GOOGL 146.408 781 31 Buy
122055000 GOOGL 146.387 674 12 Buy
122175500 GOOGL 146.373 195 1 Buy
122032000 GOOGL 146.306 903 14 Buy
122013500 GOOGL 146.105 886 12 Buy
122020500 GOOGL 146.061 721 43 Buy
121827000 GOOGL 145.992 106 28 Buy
121839500 MSFT 145.945 575 20 Buy
121825500 AMZN 145.771 323 32 Buy
121807500 TSLA 145.681 962 12 Buy
121780500 TSLA 145.37 608 32 Buy
121774000 TSLA 145.313 277 9 Buy
121765500 TSLA 145.302 708 37 Buy
121773500 TSLA 145.288 174 2 Buy
121778500 TSLA 145.283 471 3 Buy
120650500 TSLA 145.249 514 17 Buy
120580500 GOOGL 145.203 539 17 Buy
120528000 AAPL 145.172 381 19 Buy
121689500 AMZN 145.138 573 29 Buy
121684000 AMZN 145.126 81 25 Buy
121704000 AMZN 145.114 821 14 Buy
121777000 TSLA 145.111 643 33 Buy
121748000 TSLA 145.107 523 17 Buy
121698000 AMZN 145.103 577 6 Buy
120517000 AAPL 145.084 652 8 Buy
120533000 GOOGL 145.073 887 8 Buy
120519000 AAPL 145.063 694 48 Buy
120520500 AAPL 145.06 518 38 Buy
121775500 TSLA 145.043 341 3 Buy
120485000 AAPL 145.031 726 44 Buy
120515000 AAPL 144.988 851 30 Buy
121705000 AMZN 144.981 3 25 Buy
121694500 AMZN 144.971 82 49 Buy
121762000 TSLA 144.97 864 43 Buy
121707000 AMZN 144.939 128 33 Buy
120513000 AAPL 144.918 975 17 Buy
120479500 AAPL 144.844 464 26 Buy
121755000 TSLA 144.72 419 27 Buy
119980000 AAPL 144.369 135 43 Buy
119986000 AAPL 144.363 263 37 Buy
119978000 AAPL 144.363 971 16 Buy
119970000 AAPL 144.3 568 46 Buy
119944500 AAPL 144.297 473 40 Buy
119961500 AAPL 144.291 950 37 Buy
120039500 TSLA 144.277 597 36 Buy
119969000 AAPL 144.275 503 22 Buy
119961000 AAPL 144.202 149 15 Buy
119965000 AAPL 144.186 417 44 Buy
119939000 AAPL 144.077 57 11 Buy
119413000 AAPL 144.07 430 45 Buy
120038500 TSLA 144.051 156 40 Buy
119195000 AMZN 143.89 397 44 Buy
118660500 MSFT 143.852 343 36 Buy
119209500 MSFT 143.825 420 43 Buy
119217500 MSFT 143.793 450 46 Buy
119221500 MSFT 143.755 176 34 Buy
119218000 MSFT 143.711 987 38 Buy
118653000 MSFT 143.647 124 48 Buy
117633000 GOOGL 143.612 49 21 Buy
118371500 AMZN 143.558 630 23 Buy
117970500 MSFT 143.541 613 33 Buy
118658500 MSFT 143.539 963 1 Buy
119219500 MSFT 143.484 607 26 Buy
117570500 GOOGL 143.465 398 3 Buy
117572000 GOOGL 143.463 941 15 Buy
117210000 TSLA 143.461 678 15 Buy
117569500 GOOGL 143.457 677 37 Buy
118653500 MSFT 143.44 567 1 Buy
117565000 GOOGL 143.426 413 37 Buy
117262000 AMZN 143.424 138 46 Buy
117261000 AMZN 143.421 434 27 Buy
117207000 TSLA 143.391 991 22 Buy
117228500 GOOGL 143.372 743 43 Buy
117207500 TSLA 143.363 188 1 Buy
117259500 AMZN 143.293 31 40 Buy
117091000 AMZN 143.165 627 40 Buy
117102500 AAPL 143.163 999 28 Buy
117140500 AAPL 143.143 841 4 Buy
117045500 AMZN 142.537 743 18 Buy
117055500 AAPL 142.536 407 23 Buy
117042500 AMZN 142.442 276 13 Buy
117035500 AAPL 142.439 425 9 Buy
117039000 AMZN 142.365 308 36 Buy
116356000 AMZN 142.283 864 20 Buy
117027000 AAPL 142.184 553 14 Buy
111081500 GOOGL 141.983 483 15 Buy
116337000 MSFT 141.975 82 32 Buy
111080500 GOOGL 141.85 825 41 Buy
